fe_idx	fe_device_idx	fe_user_idx	fe_event_type	fe_event_value	fe_raw_data	fe_analysis_result	fe_timestamp
36334	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.0115293636026195,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.0115293636026195,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:57
36335	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.722236333715642,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.722236333715642,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:58
36336	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.41686212582482,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.41686212582482,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:02
36337	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5384925848574369,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5384925848574369,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:03
36338	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.998839175267591,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.998839175267591,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:05
36339	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.71996801943348,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.71996801943348,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:08
36340	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.420291846831816,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.420291846831816,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:10
36341	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.0053527061490115,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.0053527061490115,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:12
36342	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5417305246621424,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5417305246621424,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:13
36343	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.733077314427163,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.733077314427163,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:16
36344	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.426510512915513,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.426510512915513,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:18
36345	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.992211820611544,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.992211820611544,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:20
36346	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5356634396917457,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5356634396917457,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:21
36347	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.722903479516759,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.722903479516759,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:23
36348	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.44945093804796,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.44945093804796,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:25
36349	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.023191941759819,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.023191941759819,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:28
36350	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5365660492185214,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5365660492185214,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:29
36351	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.714834059386078,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.714834059386078,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:31
36352	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.449629978497796,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.449629978497796,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:33
36353	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.005922897891736,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.005922897891736,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:36
36354	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5429249663962707,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5429249663962707,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:36
36355	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.435576380006012,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.435576380006012,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:41
36356	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.717837107669027,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.717837107669027,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:41
36357	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.007229658640824,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.007229658640824,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:43
36358	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.543840192524641,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.543840192524641,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:44
36359	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.439773405037272,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.439773405037272,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:19:49
